,User,ETH before hack,alETH before hack,% not recovered by user,is_multisig,ETH to recover
0,0x9e2b6378ee8ad2A4A95Fe481d63CAba8FB0EBBF9,2414.589288409118,2584.272456563707,100.0,True,4998.833198771694
1,0x274d9E726844AB52E351e8F1272e7fc3f58B7E5F,1450.707634666582,1552.6548555450697,100.0,False,3003.345339389307
2,0xC4e24fF2DEe71Ff59A3BBb84989a1d2d2426b201,647.1305568736573,692.6070955243829,100.0,False,1339.7300017722698
3,0x213657bCcC5CF8b74455d110C11D5A8eD6241DEC,483.9135564605091,517.9201619595643,100.0,False,1001.8279974083141
5,0xb234615391112ED2d7D59ed10F9b755D756a1306,344.7458372990166,368.9725520292659,100.0,False,713.7143136107028
6,0x605B5F6549538a94Bd2653d1EE67612a47039da0,223.7527773739307,239.47680975096984,100.0,False,463.22694183370453
7,0x0480B924a6F1018863e318Af33c15F01619B7F2f,208.69653971262446,223.36250804576065,100.0,False,432.0565804678083
8,0x3bCF3Db69897125Aa61496Fc8a8B55A5e3f245d5,208.6435162232613,223.30575837666788,100.0,True,431.9468079362165
9,0xdB68C0F5F08Bbe0f4dd18c9cf409B2E46316d69E,149.90304768307988,160.4373543533675,100.0,False,310.33862982509453
10,0xB2E583B8315dD01A02996E76f879C7E98D60B368,136.57411255724531,146.17173987128157,100.0,False,282.74423779695985
11,0xe32e3BD2EC560513CaB4757564cA50D13cAF9F7F,132.43747957628756,141.74440859514328,100.0,False,274.18032244472636
12,0xB76bF854Ef3A9105A2FFe204608d06C7A5259604,115.0460649233945,123.13082736048041,100.0,False,238.17553216514813
13,0x3C57CB6C743b190cec13CD804afD753531B94ea8,102.39815880114752,109.59410060457662,100.0,False,211.99104881539697
14,0x2ECd81E43C1F66185446F4af7DfEAa6AAE249f55,97.11553862498008,103.9402488769597,100.0,True,201.05463936477545
15,0xCA9227f33b4f395cCc77abAf9eb7BcCe411CD07d,92.30403944366344,98.79062576352005,100.0,False,191.09357395340882
16,0x138Dd537D56F2F2761a6fC0A2A0AcE67D55480FE,82.59978654309322,88.40441490651949,100.0,False,171.0032249232397
17,0x5bDF2dF91ca26331e718Ae3AC7cdba360eE6b950,73.39212974230351,78.54969800953116,100.0,False,151.94096008191363
18,0x9BD874C46C7D73de48A7bdacF7f18882ec2c49b0,49.011848681413646,52.4561138412475,100.0,False,101.46738308577845
19,0x1B72Bac3772050FDCaF468CcE7e20deb3cB02d89,48.56678062248639,51.979769010471,100.0,False,100.54597545784007
20,0x238B4d4EBd41c8570bFa2Fc859caD272e1042502,48.391410599479826,51.792075011189915,100.0,False,100.18291350884414
21,0x593f89adc9EBdC9C65EeEf70bA64Db7F239498C2,48.293889720671515,51.68770093719978,100.0,False,99.98101970897493
22,0xA99b8aE7696aAC49f5208cCF79fd1983db2d7FBc,40.204153912234275,43.029465960767936,100.0,False,83.23314456406689
23,0x79dE94216395eAFe072B8B50216b5648eDb3f609,37.518253767141935,40.154816512365954,100.0,False,77.67262672431474
24,0xf08214cbe3527cf4FD65bfcE128e32C6EEdd2174,36.761100799256184,39.34445527631417,100.0,False,76.10512147173016
25,0x27bE856E8B8d24220E53B933e29D46A477858cE7,33.94507828492509,36.330539222025735,100.0,True,70.27521619520941
26,0x95DB1EC5EfB15ED00781B9D5e95903B5AE7e80E3,33.90026789585023,36.282579821721114,100.0,False,70.18244693559554
27,0xa05527778c5d874ff4926AF98d162E3fbf4d96DB,32.17706533138243,34.43828069150832,100.0,False,66.61496561327694
28,0x91a88dd9C43E1E6D580Abe4C54F1B6b53900A644,27.808920715783216,29.76316850138606,100.0,False,57.571760449437306
29,0x88aAF4a728e14748cea5e9A3cA1306Ac567ba472,24.384509599140156,26.098109863392224,100.0,False,50.48233117950269
30,0x738671901aFfbc417FA370CF936e461BB5315bd0,21.696928342118646,23.221661164378222,100.0,False,44.91833299708413
31,0xa12358e39c9cA9d190a5c60130a64c06211bCcBa,19.481305685013464,20.850337546576572,100.0,False,40.33141291611855
32,0xB2fbF923588764859c3a7aD2DDf90e4d24ED3005,19.26279089810308,20.616466822526245,100.0,False,39.879029988523506
33,0x6763DF505F7F343FbF69f8D5d87433dCdAE2195A,17.998807035416167,19.263657590097765,100.0,False,37.26225183671037
34,0x0175C38d00a114Bd29FBcaf832e7B1a21033644C,16.935101333962013,18.12520089298846,100.0,False,35.0601020136839
35,0x77299Cf68685B96a529D392C7d8EdfC94CBDCC15,16.508042726113587,17.668131111846392,100.0,False,34.175978673544144
36,0x1F020A4943EB57cd3b2213A66b355CB662Ea43C3,14.96647542043831,16.01823150071189,100.0,True,30.984529981734614
37,0xF9A0106251467FFF1Ff03e8609aa74fc55A2a45E,14.45582526586258,15.471695849392267,100.0,False,29.92735021294134
38,0xB97F255b37eEf7D47DBE1deBBECD1f2eCFC37Abe,12.151145561681773,13.005056777767804,100.0,False,25.156058683943918
39,0x6cEaa647f9E67faeA9EDb996Cf1e971BfC35da05,10.72590022208815,11.479653557999388,100.0,False,22.205426974379204
40,0xe651B64F2C2ad84603a8548B37d0173d417958AF,9.716404446551543,10.399216342337128,100.0,False,20.115505917826777
41,0xd179fDCdf88593DdC4d90Ef466563eBBfAbaDC0a,9.713291968810623,10.395885137922306,100.0,False,20.109062272467938
42,0x2fec662b176b5e37A34Ec918010267ca05dC9b5C,8.21643258580893,8.793835259953662,100.0,False,17.010170707943622
43,0xf872703F1C8f93fA186869Bac83BAC5A0c87C3c8,8.089648681778206,8.658141727022402,100.0,False,16.747694769869607
