User,Refunded by JPEG'd,ETH to recover,Haircut in %,,
0x50E1181Ec51E7a9602fF03B4f9Db1Ae9B0aA7906,0.500000,0.079908,15.98164862%,,
0xD7efAE6e8e0556eBb5E77A499a34FCe6a4D8c722,0.500000,0.079908,15.98164862%,,
0xe420D35f47F4bAB09FA75381b6BbD01b67d7d016,0.500000,0.079908,15.98164862%,,
0x3EB644aEDB479c094C0E71075E646A4d978dFc8E,0.600000,0.095890,15.98164862%,,
0xFe51263Bd0d075Dc5441e89Ecd1F6D63fF41E02E,0.211000,0.033721,15.98164862%,,
0x46b3F178aC6798986F86561F2C558633750e0Ad3,0.333000,0.053219,15.98164862%,,
0x76d2DDCe6b781e66c4B184C82Fbf4F94346Cfb0D,0.056600,0.009046,15.98164862%,,
0xbefD31181229b7D34532344E38899e0fEa750818,0.050000,0.007991,15.98164862%,,
0x9f50cAC49aff79144ba926ad922E4Aca002DDa55,0,10.653814459587,,,31963297.25
0x336A076FDc2EF18aFB87bDC7ab7ed9e1FfB73141,0,0.835002030406,,,2505151.39
