,User,ETH before hack,CRV before hack,% not recovered by user,is_multisig,ETH to recover,CRV to recover,Missed rewards in CRV
402,0x420a1eD5c4b686F67362205952d33999D0800df5,0.6311819584028602,1664.529524342392,100.0,False,0.5573092731650057,1885.3250452168622,131.97275316518034
403,0x74Ab8317b8075818A1b86FA4945a5C6C40A24EF4,0.6303470968459639,1662.3278585759806,100.0,False,0.556572122678885,1882.8313342012812,131.79819339408968
404,0xb4538F5353E83aEc7A50f0B88247698B687B2197,0.6135163206198283,1617.9423631209258,100.0,False,0.5417111978052949,1832.5582179831513,128.27907525882057
405,0xB41E535e0a74E4bFF03640E6d5805b1D46a74824,0.6114560756020191,1612.5091617851328,100.0,False,0.5398920810860487,1826.4043165928329,127.8483021614983
406,0x14C01f05c8577A7aF89Be5E4CE5DC4a5b818037C,0.6059785932062154,1598.0641494626143,100.0,False,0.5350556758432503,1810.043210879872,126.70302476159104
407,0x9F23654B848E87262aBa360AC784287E9a9c5566,0.6052334149975988,1596.0989932780524,100.0,False,0.534397712287268,1807.817381828278,126.54721672797946
408,0x51c6394754A73A6F9589b4c976dB637f12Bd5541,0.6027141793882677,1589.455359069754,100.0,False,0.5321733246163651,1800.2924867867719,126.02047407507403
409,0x7459c5b572369C896a85a471b0484B9aE68aa404,0.6025516029241833,1589.0266184810393,100.0,False,0.5320297758823964,1799.806874871823,125.9864812410276
410,0xd111450D4A0eb657E75d54Ad1969365F13932977,0.6008176502468056,1584.4539031382067,100.0,False,0.5304987626880758,1794.6276007079148,125.62393204955401
411,0x8a97Ff08958A4637c85939D13b29b5dCA6Dba977,0.6005563974417215,1583.7649369825833,100.0,False,0.530268086558989,1793.84724498006,125.56930714860418
412,0x825aE6fb177186e9551ab1CDd6D4aB10B22A0Dba,0.5992612229323185,1580.3493510625867,100.0,False,0.5291244975275732,1789.978590453428,125.29850133173996
413,0x21830CCd9cf471c356e255E9eB8f7d9D5Dee0D28,0.5875349161776704,1549.425172155449,100.0,False,0.5187706219021045,1754.9523994824824,122.84666796377377
414,0x11250Da6E4147aeA777fc4e87F1C04c203777255,0.586502232098747,1546.7018162106183,99.61348330110454,False,0.5158571910296024,1745.0965358607586,122.1567575102531
415,0x5340EB4dc06868acF25e3B3BACeBA9850dfc68a0,0.5642968458118179,1488.1425995188924,100.0,False,0.49825230395442255,1685.5408526535564,117.98785968574894
416,0xB48AA45041c5e15289526Eb34e3074E21a6116b0,0.5517614296885738,1455.0846675560463,100.0,False,0.48718401602974276,1648.0978718225306,115.36685102757714
417,0x30Da0606a8c46a5f427C37859CB20a87C67D3822,0.5393720539214214,1422.4118677745378,100.0,False,0.476244676094819,1611.0911099570299,112.77637769699207
418,0xA89F5087dEB468428beD6035b632940cD640bf3B,0.5391043750489923,1421.7059550337358,100.0,False,0.47600832599664356,1610.2915597234603,112.7204091806422
419,0x21D6e3501Cf32b7dB4757a3931aFf19d515b68Ac,0.537181974178072,1416.636271142001,100.0,False,0.4743109203312228,1604.5493954225922,112.31845767958144
420,0xe565fDD31D5cE89d22E360c0FeB3599371BaC88A,0.533708765438149,1407.476854566732,100.0,False,0.47124421125846216,1594.1750060132174,111.59225042092521
421,0x1fD6bF77C9Fc3946e1e059E84E59d0AAa1C16e53,0.5316343855360878,1402.0063772412702,100.0,False,0.46941261398275563,1587.9788840699562,111.15852188489694
422,0x4796E4aFD565e43B7267F1688ec09B6A246cB5fc,0.5248287310737636,1384.0587590715813,100.0,False,0.46340348414100996,1567.6505609357228,109.73553926550058
